"Reference Area","Time Period","Sex","Age group","Units of measurement","Observation Value"
"Lao People's Democratic Republic","2007","All genders","Not applicable","Number","3489"
"Lao People's Democratic Republic","2006","All genders","Not applicable","Number","3008"
"Lao People's Democratic Republic","2005","All genders","Not applicable","Number","2374"
"Lao People's Democratic Republic","2004","All genders","Not applicable","Number","1999"
"Lao People's Democratic Republic","2003","All genders","Not applicable","Number","1568"
"Lao People's Democratic Republic","2002","All genders","Not applicable","Number","1228"
"Lao People's Democratic Republic","2001","All genders","Not applicable","Number","1103"
"Lao People's Democratic Republic","2000","All genders","Not applicable","Number","1278"
"Lao People's Democratic Republic","1999","All genders","Not applicable","Number","1629"
"Lao People's Democratic Republic","1998","All genders","Not applicable","Number","1546"
"Latvia","2012","All genders","Not applicable","Number","6632"
"Latvia","2011","All genders","Not applicable","Number","6054"
"Latvia","2010","All genders","Not applicable","Number","5070"
"Latvia","2009","All genders","Not applicable","Number","4256"
"Latvia","2008","All genders","Not applicable","Number","4069"
"Latvia","2007","All genders","Not applicable","Number","3878"
"Latvia","2006","All genders","Not applicable","Number","3527"
"Latvia","2005","All genders","Not applicable","Number","3492"
"Latvia","2004","All genders","Not applicable","Number","3422"
"Latvia","2003","All genders","Not applicable","Number","3649"
"Latvia","2002","All genders","Not applicable","Number","3133"
"Latvia","2001","All genders","Not applicable","Number","3031"
"Latvia","2000","All genders","Not applicable","Number","2618"
"Latvia","1999","All genders","Not applicable","Number","2381"
"Latvia","1998","All genders","Not applicable","Number","2351"
"Lebanon","2012","All genders","Not applicable","Number","13089"
"Lebanon","2011","All genders","Not applicable","Number","13196"
"Lebanon","2010","All genders","Not applicable","Number","13312"
"Lebanon","2009","All genders","Not applicable","Number","14112"
"Lebanon","2008","All genders","Not applicable","Number","14301"
"Lebanon","2007","All genders","Not applicable","Number","13685"
"Lebanon","2006","All genders","Not applicable","Number","13743"
"Lebanon","2005","All genders","Not applicable","Number","13448"
"Lebanon","2004","All genders","Not applicable","Number","13617"
"Lebanon","2003","All genders","Not applicable","Number","13122"
"Lebanon","2002","All genders","Not applicable","Number","11813"
"Lebanon","2001","All genders","Not applicable","Number","9969"
"Lebanon","2000","All genders","Not applicable","Number","8911"
"Lebanon","1999","All genders","Not applicable","Number","8499"
"Lebanon","1998","All genders","Not applicable","Number","8374"
"Lesotho","2012","All genders","Not applicable","Number","4260"
"Lesotho","2011","All genders","Not applicable","Number","4269"
"Lesotho","2010","All genders","Not applicable","Number","4350"
"Lesotho","2009","All genders","Not applicable","Number","4257"
"Lesotho","2008","All genders","Not applicable","Number","4326"
"Lesotho","2007","All genders","Not applicable","Number","3906"
"Lesotho","2006","All genders","Not applicable","Number","3837"
"Lesotho","2005","All genders","Not applicable","Number","4024"
"Lesotho","2004","All genders","Not applicable","Number","4284"
"Lesotho","2003","All genders","Not applicable","Number","4564"
"Lesotho","2002","All genders","Not applicable","Number","3571"
"Lesotho","2001","All genders","Not applicable","Number","1908"
"Lesotho","2000","All genders","Not applicable","Number","1646"
"Lesotho","1999","All genders","Not applicable","Number","1122"
"Lesotho","1998","All genders","Not applicable","Number","826"
"Liberia","2012","All genders","Not applicable","Number","680"
"Liberia","2011","All genders","Not applicable","Number","673"
"Liberia","2010","All genders","Not applicable","Number","730"
"Liberia","2009","All genders","Not applicable","Number","691"
"Liberia","2008","All genders","Not applicable","Number","780"
"Liberia","2007","All genders","Not applicable","Number","709"
"Liberia","2006","All genders","Not applicable","Number","705"
"Liberia","2005","All genders","Not applicable","Number","694"
"Liberia","2004","All genders","Not applicable","Number","738"
"Liberia","2003","All genders","Not applicable","Number","995"
"Liberia","2002","All genders","Not applicable","Number","819"
"Liberia","2001","All genders","Not applicable","Number","371"
"Liberia","2000","All genders","Not applicable","Number","714"
"Liberia","1999","All genders","Not applicable","Number","635"
"Liberia","1998","All genders","Not applicable","Number","633"
"Libyan Arab Jamahiriya","2012","All genders","Not applicable","Number","6431"
"Libyan Arab Jamahiriya","2011","All genders","Not applicable","Number","7251"
"Libyan Arab Jamahiriya","2010","All genders","Not applicable","Number","7234"
"Libyan Arab Jamahiriya","2009","All genders","Not applicable","Number","5650"
"Libyan Arab Jamahiriya","2008","All genders","Not applicable","Number","3802"
"Libyan Arab Jamahiriya","2007","All genders","Not applicable","Number","3966"
"Libyan Arab Jamahiriya","2006","All genders","Not applicable","Number","3282"
"Libyan Arab Jamahiriya","2005","All genders","Not applicable","Number","3501"
"Libyan Arab Jamahiriya","2004","All genders","Not applicable","Number","3236"
"Libyan Arab Jamahiriya","2003","All genders","Not applicable","Number","2677"
"Libyan Arab Jamahiriya","2002","All genders","Not applicable","Number","2605"
"Libyan Arab Jamahiriya","2001","All genders","Not applicable","Number","2211"
"Libyan Arab Jamahiriya","2000","All genders","Not applicable","Number","1704"
"Libyan Arab Jamahiriya","1999","All genders","Not applicable","Number","1685"
"Libyan Arab Jamahiriya","1998","All genders","Not applicable","Number","1612"
"Liechtenstein","2012","All genders","Not applicable","Number","934"
"Liechtenstein","2011","All genders","Not applicable","Number","983"
"Liechtenstein","2010","All genders","Not applicable","Number","965"
"Liechtenstein","2009","All genders","Not applicable","Number","900"
"Liechtenstein","2008","All genders","Not applicable","Number","863"
"Liechtenstein","2007","All genders","Not applicable","Number","885"
"Liechtenstein","2006","All genders","Not applicable","Number","857"
"Liechtenstein","2005","All genders","Not applicable","Number","690"
"Liechtenstein","2004","All genders","Not applicable","Number","676"
"Liechtenstein","2003","All genders","Not applicable","Number","666"
"Liechtenstein","2002","All genders","Not applicable","Number","598"
"Liechtenstein","2001","All genders","Not applicable","Number","559"
"Liechtenstein","2000","All genders","Not applicable","Number","565"
"Liechtenstein","1999","All genders","Not applicable","Number","532"
"Liechtenstein","1998","All genders","Not applicable","Number","530"
"Lithuania","2012","All genders","Not applicable","Number","12364"
"Lithuania","2011","All genders","Not applicable","Number","10428"
"Lithuania","2010","All genders","Not applicable","Number","8773"
"Lithuania","2009","All genders","Not applicable","Number","7816"
"Lithuania","2008","All genders","Not applicable","Number","7139"
"Lithuania","2007","All genders","Not applicable","Number","6777"
"Lithuania","2006","All genders","Not applicable","Number","6584"
"Lithuania","2005","All genders","Not applicable","Number","6819"
"Lithuania","2004","All genders","Not applicable","Number","6490"
"Lithuania","2003","All genders","Not applicable","Number","6617"
"Lithuania","2002","All genders","Not applicable","Number","5666"
"Lithuania","2001","All genders","Not applicable","Number","4962"
"Lithuania","2000","All genders","Not applicable","Number","3903"
"Lithuania","1999","All genders","Not applicable","Number","3287"
"Lithuania","1998","All genders","Not applicable","Number","3351"
"Luxembourg","2012","All genders","Not applicable","Number","7698"
"Luxembourg","2011","All genders","Not applicable","Number","7270"
"Luxembourg","2010","All genders","Not applicable","Number","7006"
"Luxembourg","2009","All genders","Not applicable","Number","6787"
"Luxembourg","2008","All genders","Not applicable","Number","6263"
"Luxembourg","2007","All genders","Not applicable","Number","7206"
"Luxembourg","2006","All genders","Not applicable","Number","7046"
"Luxembourg","2005","All genders","Not applicable","Number","6670"
"Luxembourg","2004","All genders","Not applicable","Number","6318"
"Luxembourg","2003","All genders","Not applicable","Number","6527"
"Luxembourg","2002","All genders","Not applicable","Number","6141"
"Luxembourg","2001","All genders","Not applicable","Number","5840"
"Luxembourg","2000","All genders","Not applicable","Number","5494"
"Luxembourg","1999","All genders","Not applicable","Number","5431"
"Luxembourg","1998","All genders","Not applicable","Number","5350"
"Macao Special Administrative Region of China","2012","All genders","Not applicable","Number","1803"
"Macao Special Administrative Region of China","2011","All genders","Not applicable","Number","1789"
"Macao Special Administrative Region of China","2010","All genders","Not applicable","Number","1753"
"Macao Special Administrative Region of China","2009","All genders","Not applicable","Number","1550"
"Macao Special Administrative Region of China","2008","All genders","Not applicable","Number","1363"
"Macao Special Administrative Region of China","2007","All genders","Not applicable","Number","1211"
"Macao Special Administrative Region of China","2006","All genders","Not applicable","Number","1018"
"Macao Special Administrative Region of China","2005","All genders","Not applicable","Number","976"
"Macao Special Administrative Region of China","2004","All genders","Not applicable","Number","850"
"Macao Special Administrative Region of China","2003","All genders","Not applicable","Number","962"
"Macao Special Administrative Region of China","2002","All genders","Not applicable","Number","911"
"Macao Special Administrative Region of China","2001","All genders","Not applicable","Number","829"
"Macao Special Administrative Region of China","2000","All genders","Not applicable","Number","766"
"Macao Special Administrative Region of China","1999","All genders","Not applicable","Number","778"
"Macao Special Administrative Region of China","1998","All genders","Not applicable","Number","774"
"Madagascar","2012","All genders","Not applicable","Number","4881"
"Madagascar","2011","All genders","Not applicable","Number","4736"
"Madagascar","2010","All genders","Not applicable","Number","4289"
"Madagascar","2009","All genders","Not applicable","Number","4212"
"Madagascar","2008","All genders","Not applicable","Number","4132"
"Madagascar","2007","All genders","Not applicable","Number","4161"
"Madagascar","2006","All genders","Not applicable","Number","4239"
"Madagascar","2005","All genders","Not applicable","Number","4161"
"Madagascar","2004","All genders","Not applicable","Number","4005"
"Madagascar","2003","All genders","Not applicable","Number","4126"
"Madagascar","2002","All genders","Not applicable","Number","3383"
"Madagascar","2001","All genders","Not applicable","Number","2915"
"Madagascar","2000","All genders","Not applicable","Number","2870"
"Madagascar","1999","All genders","Not applicable","Number","2629"
"Madagascar","1998","All genders","Not applicable","Number","2633"
"Malawi","2012","All genders","Not applicable","Number","2358"
"Malawi","2011","All genders","Not applicable","Number","2370"
"Malawi","2010","All genders","Not applicable","Number","2097"
"Malawi","2009","All genders","Not applicable","Number","2204"
"Malawi","2008","All genders","Not applicable","Number","2031"
"Malawi","2007","All genders","Not applicable","Number","1916"
"Malawi","2006","All genders","Not applicable","Number","1702"
"Malawi","2005","All genders","Not applicable","Number","1680"
"Malawi","2004","All genders","Not applicable","Number","1593"
"Malawi","2003","All genders","Not applicable","Number","1380"
"Malawi","2002","All genders","Not applicable","Number","1344"
"Malawi","2001","All genders","Not applicable","Number","1179"
"Malawi","2000","All genders","Not applicable","Number","1037"
"Malawi","1999","All genders","Not applicable","Number","1193"
"Malawi","1998","All genders","Not applicable","Number","1020"
"Malaysia","2012","All genders","Not applicable","Number","55579"
"Malaysia","2011","All genders","Not applicable","Number","55037"
"Malaysia","2010","All genders","Not applicable","Number","54724"
"Malaysia","2009","All genders","Not applicable","Number","55076"
"Malaysia","2008","All genders","Not applicable","Number","51469"
"Malaysia","2007","All genders","Not applicable","Number","47838"
"Malaysia","2006","All genders","Not applicable","Number","44183"
"Malaysia","2005","All genders","Not applicable","Number","42578"
"Malaysia","2004","All genders","Not applicable","Number","43477"
"Malaysia","2003","All genders","Not applicable","Number","44060"
"Malaysia","2002","All genders","Not applicable","Number","41642"
"Malaysia","2001","All genders","Not applicable","Number","39437"
"Malaysia","2000","All genders","Not applicable","Number","40484"
"Malaysia","1999","All genders","Not applicable","Number","49438"
"Malaysia","1998","All genders","Not applicable","Number","54129"
"Maldives","2012","All genders","Not applicable","Number","1862"
"Maldives","2011","All genders","Not applicable","Number","1873"
"Maldives","2010","All genders","Not applicable","Number","2216"
"Maldives","2009","All genders","Not applicable","Number","1961"
"Maldives","2008","All genders","Not applicable","Number","2026"
"Maldives","2007","All genders","Not applicable","Number","1347"
"Maldives","2006","All genders","Not applicable","Number","1225"
"Maldives","2005","All genders","Not applicable","Number","1224"
"Maldives","2004","All genders","Not applicable","Number","1128"
"Maldives","2003","All genders","Not applicable","Number","1085"
"Maldives","2002","All genders","Not applicable","Number","1077"
"Maldives","2001","All genders","Not applicable","Number","763"
"Maldives","2000","All genders","Not applicable","Number","811"
"Maldives","1999","All genders","Not applicable","Number","262"
"Maldives","1998","All genders","Not applicable","Number","224"
"Mali","2012","All genders","Not applicable","Number","4544"
"Mali","2011","All genders","Not applicable","Number","4473"
"Mali","2010","All genders","Not applicable","Number","4035"
"Mali","2009","All genders","Not applicable","Number","3513"
"Mali","2008","All genders","Not applicable","Number","3485"
"Mali","2007","All genders","Not applicable","Number","3357"
"Mali","2006","All genders","Not applicable","Number","3145"
"Mali","2005","All genders","Not applicable","Number","3004"
"Mali","2004","All genders","Not applicable","Number","2910"
"Mali","2003","All genders","Not applicable","Number","3036"
"Mali","2002","All genders","Not applicable","Number","2299"
"Mali","2001","All genders","Not applicable","Number","2023"
"Mali","2000","All genders","Not applicable","Number","1562"
"Mali","1999","All genders","Not applicable","Number","1462"
"Mali","1998","All genders","Not applicable","Number","1445"
"Malta","2012","All genders","Not applicable","Number","1355"
"Malta","2011","All genders","Not applicable","Number","1236"
"Malta","2010","All genders","Not applicable","Number","1230"
"Malta","2009","All genders","Not applicable","Number","1149"
"Malta","2008","All genders","Not applicable","Number","1022"
"Malta","2007","All genders","Not applicable","Number","1034"
"Malta","2006","All genders","Not applicable","Number","972"
"Malta","2005","All genders","Not applicable","Number","811"
"Malta","2004","All genders","Not applicable","Number","732"
"Malta","2003","All genders","Not applicable","Number","647"
"Malta","2002","All genders","Not applicable","Number","1091"
"Malta","2001","All genders","Not applicable","Number","650"
"Malta","2000","All genders","Not applicable","Number","642"
"Malta","1999","All genders","Not applicable","Number","602"
"Malta","1998","All genders","Not applicable","Number","549"
"Marshall Islands","2012","All genders","Not applicable","Number","255"
"Marshall Islands","2011","All genders","Not applicable","Number","210"
"Marshall Islands","2010","All genders","Not applicable","Number","245"
"Marshall Islands","2009","All genders","Not applicable","Number","217"
"Marshall Islands","2008","All genders","Not applicable","Number","241"
"Marshall Islands","2007","All genders","Not applicable","Number","204"
"Marshall Islands","2006","All genders","Not applicable","Number","232"
"Marshall Islands","2005","All genders","Not applicable","Number","239"
"Marshall Islands","2004","All genders","Not applicable","Number","155"
"Marshall Islands","2003","All genders","Not applicable","Number","134"
"Marshall Islands","2002","All genders","Not applicable","Number","126"
"Marshall Islands","2001","All genders","Not applicable","Number","118"
"Marshall Islands","2000","All genders","Not applicable","Number","118"
"Marshall Islands","1999","All genders","Not applicable","Number","118"
"Mauritania","2012","All genders","Not applicable","Number","3939"
"Mauritania","2011","All genders","Not applicable","Number","3882"
"Mauritania","2010","All genders","Not applicable","Number","3564"
"Mauritania","2009","All genders","Not applicable","Number","3200"
"Mauritania","2008","All genders","Not applicable","Number","3018"
"Mauritania","2007","All genders","Not applicable","Number","2865"
"Mauritania","2006","All genders","Not applicable","Number","2678"
"Mauritania","2005","All genders","Not applicable","Number","2369"
"Mauritania","2004","All genders","Not applicable","Number","2445"
"Mauritania","2003","All genders","Not applicable","Number","2224"
"Mauritania","2002","All genders","Not applicable","Number","1976"
"Mauritania","2001","All genders","Not applicable","Number","2004"
"Mauritania","2000","All genders","Not applicable","Number","2011"
"Mauritania","1999","All genders","Not applicable","Number","1910"
"Mauritania","1998","All genders","Not applicable","Number","1912"
"Mauritius","2012","All genders","Not applicable","Number","6788"
"Mauritius","2011","All genders","Not applicable","Number","6816"
"Mauritius","2010","All genders","Not applicable","Number","7206"
"Mauritius","2009","All genders","Not applicable","Number","7743"
"Mauritius","2008","All genders","Not applicable","Number","7578"
"Mauritius","2007","All genders","Not applicable","Number","7504"
"Mauritius","2006","All genders","Not applicable","Number","7615"
"Mauritius","2005","All genders","Not applicable","Number","7281"
"Mauritius","2004","All genders","Not applicable","Number","7246"
"Mauritius","2003","All genders","Not applicable","Number","7218"
"Mauritius","2002","All genders","Not applicable","Number","6771"
"Mauritius","2001","All genders","Not applicable","Number","5401"
"Mauritius","2000","All genders","Not applicable","Number","4455"
"Mauritius","1999","All genders","Not applicable","Number","3444"
"Mauritius","1998","All genders","Not applicable","Number","3360"
"Mexico","2013","All genders","Not applicable","Number","26866"
"Mexico","2012","All genders","Not applicable","Number","26866"
"Mexico","2011","All genders","Not applicable","Number","26475"
"Mexico","2010","All genders","Not applicable","Number","26254"
"Mexico","2009","All genders","Not applicable","Number","27005"
"Mexico","2008","All genders","Not applicable","Number","25790"
"Mexico","2007","All genders","Not applicable","Number","25225"
"Mexico","2006","All genders","Not applicable","Number","24158"
"Mexico","2005","All genders","Not applicable","Number","23230"
"Mexico","2004","All genders","Not applicable","Number","21705"
"Mexico","2003","All genders","Not applicable","Number","21907"
"Mexico","2002","All genders","Not applicable","Number","20063"
"Mexico","2001","All genders","Not applicable","Number","15458"
"Mexico","2000","All genders","Not applicable","Number","14413"
"Mexico","1999","All genders","Not applicable","Number","13669"
"Mexico","1998","All genders","Not applicable","Number","13332"
"Moldova","2012","All genders","Not applicable","Number","17246"
"Moldova","2011","All genders","Not applicable","Number","17646"
"Moldova","2010","All genders","Not applicable","Number","15161"
"Moldova","2009","All genders","Not applicable","Number","12786"
"Moldova","2008","All genders","Not applicable","Number","15003"
"Moldova","2007","All genders","Not applicable","Number","10039"
"Moldova","2006","All genders","Not applicable","Number","9497"
"Moldova","2005","All genders","Not applicable","Number","10003"
"Moldova","2004","All genders","Not applicable","Number","9247"
"Moldova","2003","All genders","Not applicable","Number","8610"
"Moldova","2002","All genders","Not applicable","Number","7882"
"Moldova","2001","All genders","Not applicable","Number","7968"
"Moldova","2000","All genders","Not applicable","Number","9165"
"Moldova","1999","All genders","Not applicable","Number","8907"
"Moldova","1998","All genders","Not applicable","Number","8873"
"Monaco","2012","All genders","Not applicable","Number","606"
"Monaco","2011","All genders","Not applicable","Number","481"
"Monaco","2010","All genders","Not applicable","Number","454"
"Monaco","2009","All genders","Not applicable","Number","408"
"Monaco","2008","All genders","Not applicable","Number","411"
"Monaco","2007","All genders","Not applicable","Number","376"
"Monaco","2006","All genders","Not applicable","Number","392"
"Monaco","2005","All genders","Not applicable","Number","344"
"Monaco","2004","All genders","Not applicable","Number","350"
"Monaco","2003","All genders","Not applicable","Number","394"
"Monaco","2002","All genders","Not applicable","Number","312"
"Monaco","2001","All genders","Not applicable","Number","296"
"Monaco","2000","All genders","Not applicable","Number","261"
"Monaco","1999","All genders","Not applicable","Number","249"
"Monaco","1998","All genders","Not applicable","Number","245"
"Mongolia","2012","All genders","Not applicable","Number","10717"
"Mongolia","2011","All genders","Not applicable","Number","10618"
"Mongolia","2010","All genders","Not applicable","Number","10015"
"Mongolia","2009","All genders","Not applicable","Number","9480"
"Mongolia","2008","All genders","Not applicable","Number","8512"
"Mongolia","2007","All genders","Not applicable","Number","6470"
"Mongolia","2006","All genders","Not applicable","Number","5491"
"Mongolia","2005","All genders","Not applicable","Number","5251"
"Mongolia","2004","All genders","Not applicable","Number","4760"
"Mongolia","2003","All genders","Not applicable","Number","4133"
"Mongolia","2002","All genders","Not applicable","Number","3495"
"Mongolia","2001","All genders","Not applicable","Number","2945"
"Mongolia","2000","All genders","Not applicable","Number","2439"
"Mongolia","1999","All genders","Not applicable","Number","2097"
"Mongolia","1998","All genders","Not applicable","Number","1869"
"Montenegro","2012","All genders","Not applicable","Number","4350"
"Montenegro","2011","All genders","Not applicable","Number","3762"
"Montenegro","2010","All genders","Not applicable","Number","4011"
"Montenegro","2009","All genders","Not applicable","Number","4273"
"Montenegro","2008","All genders","Not applicable","Number","4520"
"Montenegro","2007","All genders","Not applicable","Number","73"
"Montenegro","2006","All genders","Not applicable","Number","73"
"Montenegro","2005","All genders","Not applicable","Number","73"
"Montserrat","2012","All genders","Not applicable","Number","41"
"Montserrat","2011","All genders","Not applicable","Number","45"
"Montserrat","2010","All genders","Not applicable","Number","65"
"Montserrat","2009","All genders","Not applicable","Number","54"
"Montserrat","2008","All genders","Not applicable","Number","58"
"Montserrat","2007","All genders","Not applicable","Number","62"
"Montserrat","2006","All genders","Not applicable","Number","52"
"Montserrat","2005","All genders","Not applicable","Number","65"
"Montserrat","2004","All genders","Not applicable","Number","55"
"Montserrat","2003","All genders","Not applicable","Number","24"
"Montserrat","2002","All genders","Not applicable","Number","19"
"Montserrat","2001","All genders","Not applicable","Number","17"
"Montserrat","2000","All genders","Not applicable","Number","17"
"Montserrat","1999","All genders","Not applicable","Number","20"
"Morocco","2012","All genders","Not applicable","Number","44161"
"Morocco","2011","All genders","Not applicable","Number","43515"
"Morocco","2010","All genders","Not applicable","Number","42942"
"Morocco","2009","All genders","Not applicable","Number","42338"
"Morocco","2008","All genders","Not applicable","Number","41627"
"Morocco","2007","All genders","Not applicable","Number","40635"
"Morocco","2006","All genders","Not applicable","Number","43754"
"Morocco","2005","All genders","Not applicable","Number","46009"
"Morocco","2004","All genders","Not applicable","Number","49038"
"Morocco","2003","All genders","Not applicable","Number","56268"
"Morocco","2002","All genders","Not applicable","Number","52734"
"Morocco","2001","All genders","Not applicable","Number","45873"
"Morocco","2000","All genders","Not applicable","Number","42688"
"Morocco","1999","All genders","Not applicable","Number","38104"
"Morocco","1998","All genders","Not applicable","Number","37990"
"Mozambique","2012","All genders","Not applicable","Number","1887"
"Mozambique","2011","All genders","Not applicable","Number","1937"
"Mozambique","2010","All genders","Not applicable","Number","2062"
"Mozambique","2009","All genders","Not applicable","Number","2164"
"Mozambique","2008","All genders","Not applicable","Number","1878"
"Mozambique","2007","All genders","Not applicable","Number","2502"
"Mozambique","2006","All genders","Not applicable","Number","2816"
"Mozambique","2005","All genders","Not applicable","Number","2900"
"Mozambique","2004","All genders","Not applicable","Number","2588"
"Mozambique","2003","All genders","Not applicable","Number","2462"
"Mozambique","2002","All genders","Not applicable","Number","2203"
"Mozambique","2001","All genders","Not applicable","Number","2099"
"Mozambique","2000","All genders","Not applicable","Number","1987"
"Mozambique","1999","All genders","Not applicable","Number","1889"
"Mozambique","1998","All genders","Not applicable","Number","1713"
"Myanmar","2012","All genders","Not applicable","Number","7254"
"Myanmar","2011","All genders","Not applicable","Number","6988"
"Myanmar","2010","All genders","Not applicable","Number","6512"
"Myanmar","2009","All genders","Not applicable","Number","5852"
"Myanmar","2008","All genders","Not applicable","Number","4456"
"Myanmar","2007","All genders","Not applicable","Number","3421"
"Myanmar","2006","All genders","Not applicable","Number","3009"
"Myanmar","2005","All genders","Not applicable","Number","2746"
"Myanmar","2004","All genders","Not applicable","Number","2759"
"Myanmar","2003","All genders","Not applicable","Number","2702"
"Myanmar","2002","All genders","Not applicable","Number","2398"
"Myanmar","2001","All genders","Not applicable","Number","1673"
"Myanmar","2000","All genders","Not applicable","Number","1611"
"Myanmar","1999","All genders","Not applicable","Number","1201"
"Myanmar","1998","All genders","Not applicable","Number","1130"
"Namibia","2012","All genders","Not applicable","Number","7602"
"Namibia","2011","All genders","Not applicable","Number","7477"
"Namibia","2010","All genders","Not applicable","Number","7490"
"Namibia","2009","All genders","Not applicable","Number","7816"
"Namibia","2008","All genders","Not applicable","Number","8379"
"Namibia","2007","All genders","Not applicable","Number","8621"
"Namibia","2006","All genders","Not applicable","Number","7479"
"Namibia","2005","All genders","Not applicable","Number","6352"
"Namibia","2004","All genders","Not applicable","Number","7660"
"Namibia","2003","All genders","Not applicable","Number","6853"
"Namibia","2002","All genders","Not applicable","Number","5690"
"Namibia","2001","All genders","Not applicable","Number","5863"
"Namibia","2000","All genders","Not applicable","Number","6521"
"Namibia","1999","All genders","Not applicable","Number","4479"
"Namibia","1998","All genders","Not applicable","Number","3377"
"Nauru","2012","All genders","Not applicable","Number","143"
"Nauru","2011","All genders","Not applicable","Number","156"
"Nauru","2010","All genders","Not applicable","Number","154"
"Nauru","2009","All genders","Not applicable","Number","132"
"Nauru","2008","All genders","Not applicable","Number","124"
"Nauru","2007","All genders","Not applicable","Number","112"
"Nauru","2006","All genders","Not applicable","Number","110"
"Nauru","2005","All genders","Not applicable","Number","95"
"Nauru","2004","All genders","Not applicable","Number","77"
"Nauru","2003","All genders","Not applicable","Number","70"
"Nauru","2002","All genders","Not applicable","Number","70"
"Nauru","2001","All genders","Not applicable","Number","70"
"Nauru","2000","All genders","Not applicable","Number","69"
"Nauru","1999","All genders","Not applicable","Number","72"
"Nepal","2012","All genders","Not applicable","Number","29184"
"Nepal","2011","All genders","Not applicable","Number","29348"
"Nepal","2010","All genders","Not applicable","Number","27275"
"Nepal","2009","All genders","Not applicable","Number","24579"
"Nepal","2008","All genders","Not applicable","Number","19477"
"Nepal","2007","All genders","Not applicable","Number","15818"
"Nepal","2006","All genders","Not applicable","Number","11307"
"Nepal","2005","All genders","Not applicable","Number","9307"
"Nepal","2004","All genders","Not applicable","Number","7625"
"Nepal","2003","All genders","Not applicable","Number","7100"
"Nepal","2002","All genders","Not applicable","Number","6278"
"Nepal","2001","All genders","Not applicable","Number","4748"
"Nepal","2000","All genders","Not applicable","Number","4307"
"Nepal","1999","All genders","Not applicable","Number","3827"
"Nepal","1998","All genders","Not applicable","Number","3792"
"Netherlands","2012","All genders","Not applicable","Number","14246"
"Netherlands","2011","All genders","Not applicable","Number","13503"
"Netherlands","2010","All genders","Not applicable","Number","12602"
"Netherlands","2009","All genders","Not applicable","Number","11258"
"Netherlands","2008","All genders","Not applicable","Number","8264"
"Netherlands","2007","All genders","Not applicable","Number","10538"
"Netherlands","2006","All genders","Not applicable","Number","10095"
"Netherlands","2005","All genders","Not applicable","Number","10195"
"Netherlands","2004","All genders","Not applicable","Number","8641"
"Netherlands","2003","All genders","Not applicable","Number","12680"
"Netherlands","2002","All genders","Not applicable","Number","12179"
"Netherlands","2001","All genders","Not applicable","Number","12040"
"Netherlands","2000","All genders","Not applicable","Number","12524"
"Netherlands","1999","All genders","Not applicable","Number","13050"
"Netherlands","1998","All genders","Not applicable","Number","12626"
"Netherlands Antilles","2010","All genders","Not applicable","Number","77"
"Netherlands Antilles","2009","All genders","Not applicable","Number","280"
"Netherlands Antilles","2008","All genders","Not applicable","Number","333"
"Netherlands Antilles","2007","All genders","Not applicable","Number","315"
"Netherlands Antilles","2006","All genders","Not applicable","Number","305"
"Netherlands Antilles","2005","All genders","Not applicable","Number","300"
"Netherlands Antilles","2004","All genders","Not applicable","Number","284"
"Netherlands Antilles","2003","All genders","Not applicable","Number","377"
"Netherlands Antilles","2002","All genders","Not applicable","Number","378"
"Netherlands Antilles","2001","All genders","Not applicable","Number","339"
"Netherlands Antilles","2000","All genders","Not applicable","Number","1276"
"Netherlands Antilles","1999","All genders","Not applicable","Number","355"
"Netherlands Antilles","1998","All genders","Not applicable","Number","397"
"New Zealand","2012","All genders","Not applicable","Number","5327"
"New Zealand","2011","All genders","Not applicable","Number","5232"
"New Zealand","2010","All genders","Not applicable","Number","4759"
"New Zealand","2009","All genders","Not applicable","Number","4572"
"New Zealand","2008","All genders","Not applicable","Number","4172"
"New Zealand","2007","All genders","Not applicable","Number","4162"
"New Zealand","2006","All genders","Not applicable","Number","4150"
"New Zealand","2005","All genders","Not applicable","Number","3820"
"New Zealand","2004","All genders","Not applicable","Number","6535"
"New Zealand","2003","All genders","Not applicable","Number","6928"
"New Zealand","2002","All genders","Not applicable","Number","7408"
"New Zealand","2001","All genders","Not applicable","Number","6579"
"New Zealand","2000","All genders","Not applicable","Number","6068"
"New Zealand","1999","All genders","Not applicable","Number","5824"
"New Zealand","1998","All genders","Not applicable","Number","5628"
"Nicaragua","2012","All genders","Not applicable","Number","2430"
"Nicaragua","2011","All genders","Not applicable","Number","1671"
"Nicaragua","2010","All genders","Not applicable","Number","2554"
"Nicaragua","2009","All genders","Not applicable","Number","2498"
"Nicaragua","2008","All genders","Not applicable","Number","2348"
"Nicaragua","2007","All genders","Not applicable","Number","2228"
"Nicaragua","2006","All genders","Not applicable","Number","1767"
"Nicaragua","2005","All genders","Not applicable","Number","2068"
"Nicaragua","2004","All genders","Not applicable","Number","1777"
"Nicaragua","2003","All genders","Not applicable","Number","1806"
"Nicaragua","2002","All genders","Not applicable","Number","1685"
"Nicaragua","2001","All genders","Not applicable","Number","1754"
"Nicaragua","2000","All genders","Not applicable","Number","1397"
"Nicaragua","1999","All genders","Not applicable","Number","1323"
"Nicaragua","1998","All genders","Not applicable","Number","1324"
"Niger","2012","All genders","Not applicable","Number","2108"
"Niger","2011","All genders","Not applicable","Number","2530"
"Niger","2010","All genders","Not applicable","Number","2246"
"Niger","2009","All genders","Not applicable","Number","2004"
